	JD-11	JD-217	JD-214	JD-111	JD-207	JD-205	JD-110	JD-197	JD-29	JD-28	JD-25	JD-237
ASV_105	0	0	0	0	0	0	0	0	0	32	0	0
ASV_106	0	0	0	0	0	0	0	0	0	32	0	0
ASV_107	0	7	6	0	0	2	0	0	4	6	2	4
ASV_108	0	0	18	0	0	0	0	0	0	13	0	0
ASV_109	0	0	0	0	0	0	0	0	0	0	0	31
ASV_110	0	0	25	0	0	0	0	0	0	5	0	0
ASV_111	0	0	0	0	0	30	0	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	0	30	0	0
ASV_113	0	0	0	0	0	0	0	0	0	30	0	0
ASV_114	0	0	0	0	0	0	0	0	0	0	0	30
ASV_115	0	0	29	0	0	0	0	0	0	0	0	0
ASV_116	0	0	0	0	0	29	0	0	0	0	0	0
ASV_117	0	0	0	0	0	29	0	0	0	0	0	0
ASV_118	0	0	0	0	0	0	0	0	0	29	0	0
ASV_119	0	0	0	0	0	0	0	0	0	29	0	0
ASV_120	28	0	0	0	0	0	0	0	0	0	0	0
ASV_121	28	0	0	0	0	0	0	0	0	0	0	0
ASV_122	0	28	0	0	0	0	0	0	0	0	0	0
ASV_123	0	0	0	0	0	28	0	0	0	0	0	0
ASV_124	0	0	0	0	0	0	0	0	0	28	0	0
ASV_125	0	0	0	0	0	0	0	0	0	28	0	0
ASV_126	27	0	0	0	0	0	0	0	0	0	0	0
ASV_127	0	0	4	0	0	3	0	0	0	20	0	0
ASV_128	0	0	0	0	0	27	0	0	0	0	0	0
ASV_129	0	0	0	0	0	27	0	0	0	0	0	0
ASV_130	0	0	0	0	0	0	0	0	0	27	0	0
ASV_131	0	0	0	0	0	0	0	0	0	23	0	4
ASV_132	0	0	0	0	0	0	0	0	0	0	27	0
ASV_133	26	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	26	0	0
ASV_135	0	0	0	0	0	0	0	0	0	26	0	0
ASV_136	0	0	0	0	0	0	0	0	0	26	0	0
ASV_137	0	0	0	0	0	0	0	0	0	25	0	0
ASV_138	0	0	0	0	0	0	0	0	0	25	0	0
ASV_139	0	0	0	0	0	0	0	0	0	25	0	0
ASV_140	0	0	0	0	0	0	0	0	0	25	0	0
